"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","521","create user","","Mon Aug 25 15:56:19 UTC 2025","failed","Mon Aug 25 15:56:20 UTC 2025","create user endpoints","","",""
"","487","fetch user list","","Mon Aug 25 15:56:19 UTC 2025","failed","Mon Aug 25 15:56:20 UTC 2025","user endpoints","","",""
"","496","create user and delete User","","Mon Aug 25 15:56:20 UTC 2025","failed","Mon Aug 25 15:56:21 UTC 2025","create user and delete user endpoints","","",""
"","1","create user","","Mon Aug 25 15:56:20 UTC 2025","skipped","Mon Aug 25 15:56:20 UTC 2025","","","",""
"","476","fetch a single user","","Mon Aug 25 15:56:20 UTC 2025","failed","Mon Aug 25 15:56:20 UTC 2025","user endpoints","","",""
